Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2011 July,Dublin - all residential properties,Base Jan 2005 = 100,63.6
Residential Property Price Index,2011 July,Dublin - houses,Base Jan 2005 = 100,66.8
Residential Property Price Index,2011 July,Dublin - apartments,Base Jan 2005 = 100,56.4
Residential Property Price Index,2011 August,National - all residential properties,Base Jan 2005 = 100,68
Residential Property Price Index,2011 August,National - houses,Base Jan 2005 = 100,70.7
Residential Property Price Index,2011 August,National - apartments,Base Jan 2005 = 100,54.4
Residential Property Price Index,2011 August,Dublin - all residential properties,Base Jan 2005 = 100,62.3
Residential Property Price Index,2011 August,Dublin - houses,Base Jan 2005 = 100,65.3
Residential Property Price Index,2011 August,Dublin - apartments,Base Jan 2005 = 100,56.1
Residential Property Price Index,2011 September,National - all residential properties,Base Jan 2005 = 100,66.6
Residential Property Price Index,2011 September,National - houses,Base Jan 2005 = 100,69.4
Residential Property Price Index,2011 September,National - apartments,Base Jan 2005 = 100,52.4
Residential Property Price Index,2011 September,Dublin - all residential properties,Base Jan 2005 = 100,60.6
Residential Property Price Index,2011 September,Dublin - houses,Base Jan 2005 = 100,63.5
Residential Property Price Index,2011 September,Dublin - apartments,Base Jan 2005 = 100,54.4
Residential Property Price Index,2011 October,National - all residential properties,Base Jan 2005 = 100,65.4
Residential Property Price Index,2011 October,National - houses,Base Jan 2005 = 100,68.1
Residential Property Price Index,2011 October,National - apartments,Base Jan 2005 = 100,51
Residential Property Price Index,2011 October,Dublin - all residential properties,Base Jan 2005 = 100,59.4
Residential Property Price Index,2011 October,Dublin - houses,Base Jan 2005 = 100,62.3
Residential Property Price Index,2011 October,Dublin - apartments,Base Jan 2005 = 100,53.5
Residential Property Price Index,2011 November,National - all residential properties,Base Jan 2005 = 100,64.3
Residential Property Price Index,2011 November,National - houses,Base Jan 2005 = 100,66.9
Residential Property Price Index,2011 November,National - apartments,Base Jan 2005 = 100,50
Residential Property Price Index,2011 November,Dublin - all residential properties,Base Jan 2005 = 100,58.1
Residential Property Price Index,2011 November,Dublin - houses,Base Jan 2005 = 100,60.8
Residential Property Price Index,2011 November,Dublin - apartments,Base Jan 2005 = 100,52.4
Residential Property Price Index,2011 December,National - all residential properties,Base Jan 2005 = 100,63.3
Residential Property Price Index,2011 December,National - houses,Base Jan 2005 = 100,65.8
Residential Property Price Index,2011 December,National - apartments,Base Jan 2005 = 100,49.5
Residential Property Price Index,2011 December,Dublin - all residential properties,Base Jan 2005 = 100,57
Residential Property Price Index,2011 December,Dublin - houses,Base Jan 2005 = 100,59.6
Residential Property Price Index,2011 December,Dublin - apartments,Base Jan 2005 = 100,51.7
Residential Property Price Index,2012 January,National - all residential properties,Base Jan 2005 = 100,62.3
Residential Property Price Index,2012 January,National - houses,Base Jan 2005 = 100,64.6
Residential Property Price Index,2012 January,National - apartments,Base Jan 2005 = 100,48.6
Residential Property Price Index,2012 January,Dublin - all residential properties,Base Jan 2005 = 100,56
Residential Property Price Index,2012 January,Dublin - houses,Base Jan 2005 = 100,58.6
Residential Property Price Index,2012 January,Dublin - apartments,Base Jan 2005 = 100,50.3
Residential Property Price Index,2012 February,National - all residential properties,Base Jan 2005 = 100,60.9
Residential Property Price Index,2012 February,National - houses,Base Jan 2005 = 100,63.2
Residential Property Price Index,2012 February,National - apartments,Base Jan 2005 = 100,47.5
Residential Property Price Index,2012 February,Dublin - all residential properties,Base Jan 2005 = 100,54.5
Residential Property Price Index,2012 February,Dublin - houses,Base Jan 2005 = 100,57.2
